н;е;4843;0.029870722621074
н;а;4841;0.029858386993314
о;н;58;0.000357733205043
т;о;947;0.005840919744406
н;о;498;0.003071571312264
ж;е;533;0.003287444798066
в;ы;3258;0.020094737621198
п;о;12181;0.075130140872869
д;а;448;0.002763180618262
з;а;6917;0.042662768608294
б;ы;153;0.000943675523647
т;ы;88;0.000542767621444
о;т;3376;0.020822539659043
и;з;1565;0.009652628722276
е;е;1;0.000006167813880
д;о;2121;0.013081933239583
н;у;89;0.000548935435324
н;и;497;0.003065403498384
л;и;683;0.004212616880073
у;ж;134;0.000826487059926
в;о;2639;0.016276860829448
и;х;25;0.000154195347001
м;ы;138;0.000851158315447
с;о;2899;0.017880492438260
е;й;4;0.000024671255520
о;б;3317;0.020458638640120
к;о;2694;0.016616090592850
а;х;36;0.000222041299682
и;м;154;0.000949843337527
к;а;1921;0.011848370463573
т;а;652;0.004021414649792
п;р;11050;0.068154343374534
т;е;772;0.004761552315397
ч;т;38;0.000234376927442
т;у;336;0.002072385463696
г;о;1351;0.008332716551945
д;е;1184;0.007302691633977
в;с;1001;0.006173981693928
э;т;71;0.000437914785483
м;о;1181;0.007284188192337
р;а;5204;0.032097303431772
с;т;2384;0.014704068290035
х;а;198;0.001221227148250
х;е;30;0.000185034416401
у;м;492;0.003034564428984
с;е;1010;0.006229492018849
э;х;9;0.000055510324920
г;м;1;0.000006167813880
м;е;1056;0.006513211457331
с;в;1153;0.007111489403696
л;ь;81;0.000499592924284
е;г;62;0.000382404460563
п;е;2886;0.017800310857820
в;а;542;0.003342955122986
с;а;818;0.005045271753880
в;е;1343;0.008283374040905
о;х;167;0.001030024917968
б;о;1068;0.006587225223892
х;о;509;0.003139417264945
ч;е;804;0.004958922359559
с;л;1129;0.006963461870575
о;д;515;0.003176424148225
б;е;2159;0.013316310167024
м;н;211;0.001301408728690
а;й;5;0.000030839069400
е;ю;1;0.000006167813880
о;с;1564;0.009646460908396
с;к;1346;0.008301877482545
в;и;651;0.004015246835911
м;и;738;0.004551846643476
м;а;1368;0.008437569387906
с;п;1001;0.006173981693928
б;а;946;0.005834751930526
е;с;57;0.000351565391163
б;у;649;0.004002911208151
г;л;462;0.002849530012582
щ;о;4;0.000024671255520
э;й;10;0.000061678138800
е;м;22;0.000135691905361
к;р;1379;0.008505415340587
с;м;921;0.005680556583525
д;р;546;0.003367626378506
л;ю;362;0.002232748624578
п;а;1335;0.008234031529865
р;о;853;0.005261145239681
з;н;281;0.001733155700294
л;е;780;0.004810894826438
я;к;45;0.000277551624602
т;р;1174;0.007241013495177
ж;и;413;0.002547307132460
е;л;60;0.000370068832803
у;с;1045;0.006445365504651
ф;у;74;0.000456418227124
д;в;424;0.002615153085141
р;у;512;0.003157920706585
а;л;255;0.001572792539412
о;й;2;0.000012335627760
с;и;583;0.003595835492068
д;у;452;0.002787851873782
в;з;715;0.004409986924235
е;щ;2;0.000012335627760
х;и;137;0.000844990501567
ч;и;288;0.001776330397454
в;д;125;0.000770976735006
и;л;99;0.000610613574125
у;х;125;0.000770976735006
ч;а;264;0.001628302864333
г;р;1064;0.006562553968371
п;и;513;0.003164088520465
б;л;954;0.005884094441566
р;е;958;0.005908765697086
с;у;832;0.005131621148200
г;е;313;0.001930525744455
к;у;907;0.005594207189204
о;п;891;0.005495522167123
ж;а;294;0.001813337280734
и;с;1297;0.007999654602423
о;ч;224;0.001381590309131
э;к;184;0.001134877753929
д;л;77;0.000474921668764
п;л;779;0.004804727012558
и;н;402;0.002479461179779
п;у;652;0.004021414649792
ф;р;186;0.001147213381689
а;н;412;0.002541139318580
б;р;707;0.004360644413194
ч;у;405;0.002497964621420
м;у;535;0.003299780425826
у;в;479;0.002954382848543
в;п;207;0.001276737473170
к;н;128;0.000789480176646
и;в;63;0.000388572274443
о;к;610;0.003762366466829
а;д;146;0.000900500826487
л;у;216;0.001332247798090
у;г;393;0.002423950854859
в;р;232;0.001430932820171
л;о;494;0.003046900056744
ц;е;324;0.001998371697136
г;у;383;0.002362272716059
л;а;492;0.003034564428984
ш;е;370;0.002282091135618
с;р;256;0.001578960353292
т;и;227;0.001400093750771
у;д;577;0.003558828608788
ф;е;251;0.001548121283892
д;и;338;0.002084721091456
т;в;120;0.000740137665606
г;д;6;0.000037006883280
с;д;237;0.001461771889571
в;н;264;0.001628302864333
и;д;130;0.000801815804406
у;б;374;0.002306762391138
щ;и;44;0.000271383810722
з;д;110;0.000678459526805
у;п;514;0.003170256334345
с;ч;108;0.000666123899045
у;з;146;0.000900500826487
г;а;495;0.003053067870624
о;г;412;0.002541139318580
у;л;292;0.001801001652974
ш;а;377;0.002325265832778
а;р;488;0.003009893173464
у;т;434;0.002676831223941
ф;и;260;0.001603631608813
а;ж;6;0.000037006883280
е;д;136;0.000838822687687
к;т;8;0.000049342511040
г;г;2;0.000012335627760
к;л;527;0.003250437914785
с;н;295;0.001819505094614
у;к;382;0.002356104902178
з;е;274;0.001689981003133
и;г;169;0.001042360545728
з;и;77;0.000474921668764
к;и;398;0.002454789924259
ц;а;118;0.000727802037846
я;р;114;0.000703130782326
д;н;48;0.000296055066242
м;я;99;0.000610613574125
с;ы;177;0.001091703056769
ф;а;353;0.002177238299657
в;м;48;0.000296055066242
з;л;244;0.001504946586732
о;ж;174;0.001073199615128
с;ю;42;0.000259048182962
ш;у;192;0.001184220264969
п;я;169;0.001042360545728
т;я;163;0.001005353662448
ш;л;105;0.000647620457405
ш;т;150;0.000925172082007
в;л;318;0.001961364813855
л;я;87;0.000536599807564
о;р;286;0.001763994769694
