н;10959;0.067593072311450
о;12440;0.076727604667802
т;4654;0.028705005797745
ж;1497;0.009233217378432
в;11988;0.073939752794020
п;29992;0.184985073890410
д;5960;0.036760170725088
з;8512;0.052500431746972
б;6925;0.042712111119335
и;4253;0.026231712431846
е;753;0.004644363851676
л;3293;0.020310611106999
у;6239;0.038480990797622
м;5585;0.034447240520070
с;16116;0.099400488490859
к;8176;0.050428046283275
а;2416;0.014901438334197
ч;1934;0.011928552044014
г;4472;0.027582463671576
э;700;0.004317469716034
р;8172;0.050403375027755
х;1769;0.010910862753806
щ;329;0.002029210766536
я;682;0.004206449066193
ф;1502;0.009264056447833
ц;745;0.004595021340636
ш;1810;0.011163743122888
ю;240;0.001480275331212
ы;5;0.000030839069400
й;13;0.000080181580441
ь;1;0.000006167813880
