н;229040;0.109546113490041
о;142735;0.068267833168883
т;133467;0.063835099236707
ж;29396;0.014059629550093
в;171629;0.082087364269046
п;222298;0.106321524347752
д;109458;0.052351984327598
з;66203;0.031663820081126
б;95378;0.045617748919198
и;50127;0.023974930278184
е;53220;0.025454261962714
л;38368;0.018350791487888
у;50974;0.024380036626971
м;94066;0.044990240619779
с;193883;0.092731091170930
к;107672;0.051497769523663
а;17782;0.008504841905693
ч;81311;0.038889731199741
г;58821;0.028133129329365
э;33938;0.016231994409819
р;55284;0.026441439653263
х;22843;0.010925436039351
щ;1435;0.000686337202490
я;4405;0.002106839983949
ф;9439;0.004514520455957
ц;5109;0.002443551754369
ш;11317;0.005412737366254
ю;1192;0.000570114247643
ы;5;0.000002391418824
й;13;0.000006217688942
ь;1;0.000000478283765
